,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,68.29,83,75,2.3,broken clouds
1,Torbay,CA,47.6666,-52.7314,33.58,77,100,9.22,overcast clouds
2,Oktyabrskoye,RU,43.0645,44.7417,28.54,93,100,4.47,overcast clouds
3,Bam,IR,29.106,58.357,59.83,38,2,3.13,clear sky
4,Toumodi,CI,6.5613,-5.0158,69.24,78,32,3.67,scattered clouds
5,Isangel,VU,-19.55,169.2667,82.89,64,94,6.8,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,62.19,95,67,3.0,broken clouds
7,Hamilton,US,39.1834,-84.5333,35.91,78,100,11.5,overcast clouds
8,Harper,LR,4.375,-7.7169,77.67,85,8,7.05,clear sky
9,East London,ZA,-33.0153,27.9116,65.7,80,84,2.91,broken clouds
10,Saldanha,ZA,-33.0117,17.9442,55.45,77,70,16.51,broken clouds
11,Tuatapere,NZ,-46.1333,167.6833,60.62,82,100,4.21,light rain
12,Marmora,IT,44.4583,7.094,38.66,64,50,8.97,scattered clouds
13,Hermanus,ZA,-34.4187,19.2345,52.81,72,95,3.65,overcast clouds
14,Guanica,PR,17.9716,-66.908,80.06,73,21,6.98,few clouds
15,Cayenne,GF,4.9333,-52.3333,80.64,83,0,2.3,clear sky
16,Fuerte Olimpo,PY,-21.0415,-57.8738,72.55,57,0,5.88,clear sky
17,Busselton,AU,-33.65,115.3333,59.86,71,77,16.17,broken clouds
18,Kaitangata,NZ,-46.2817,169.8464,57.97,82,100,4.72,overcast clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,79,75,11.5,broken clouds
20,Kapaa,US,22.0752,-159.319,80.92,62,75,11.5,broken clouds
21,Wajima,JP,37.4,136.9,48.88,93,75,4.61,broken clouds
22,Hobart,AU,-42.8794,147.3294,56.26,69,75,4.61,broken clouds
23,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.93,83,46,6.71,scattered clouds
