,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
5,5,Isangel,VU,-19.55,169.2667,82.89,64,94,6.8,overcast clouds,Tanna Lodge
8,8,Harper,LR,4.375,-7.7169,77.67,85,8,7.05,clear sky,Screensaver
14,14,Guanica,PR,17.9716,-66.908,80.06,73,21,6.98,few clouds,Copamarina Beach Resort & Spa
15,15,Cayenne,GF,4.9333,-52.3333,80.64,83,0,2.3,clear sky,Hôtel Le Dronmi
20,20,Kapaa,US,22.0752,-159.319,80.92,62,75,11.5,broken clouds,Sheraton Kauai Coconut Beach Resort
23,23,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.93,83,46,6.71,scattered clouds,Crôa Mares Hotel
27,27,Sumbe,AO,-11.2061,13.8437,75.24,75,100,6.42,overcast clouds,Hotel Ritz Sumbe
28,28,Hilo,US,19.7297,-155.09,79.25,80,75,5.75,light rain,Hilo Hawaiian Hotel
32,32,Cockburn Town,TC,21.4612,-71.1419,82.13,75,5,17.4,clear sky,Osprey Beach Hotel
34,34,Atuona,PF,-9.8,-139.0333,78.19,75,2,12.57,clear sky,Villa Enata
36,36,Samana,DO,19.2056,-69.3369,78.76,86,9,8.12,clear sky,The Bannister - Hotel & Yacht Club
37,37,Santa Maria,BR,-29.6842,-53.8069,76.3,47,0,5.75,clear sky,Hotel Morotin
48,48,Avarua,CK,-21.2078,-159.775,78.85,65,40,13.8,scattered clouds,Paradise Inn
49,49,Marsh Harbour,BS,26.5412,-77.0636,79.25,74,59,6.42,broken clouds,Abaco Beach Resort
50,50,Kahului,US,20.8947,-156.47,84.22,60,20,23.02,few clouds,Maui Seaside Hotel
51,51,Sao Filipe,CV,14.8961,-24.4956,77.68,67,44,2.8,scattered clouds,Hotel Xaguate
54,54,Hambantota,LK,6.1241,81.1185,76.33,81,84,5.75,broken clouds,Bungalow 63
57,57,Victoria,HK,22.2855,114.1577,75.38,85,97,10.0,overcast clouds,Mini Central
58,58,Itarema,BR,-2.9248,-39.9167,78.84,71,16,16.75,few clouds,"Sea Lounge! Bar, Club & Restaurant"
59,59,Lompoc,US,34.6391,-120.4579,75.02,26,0,11.5,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
67,67,Mogadishu,SO,2.0371,45.3438,78.64,81,6,10.42,clear sky,Hotel Juba
74,74,Kupang,ID,-10.1667,123.5833,83.71,70,80,2.06,broken clouds,Hotel On The Rock by Prasanthi
75,75,Tres Picos,MX,15.8667,-93.5333,80.91,76,87,5.03,overcast clouds,Tres picos Chiapas
77,77,Bandarbeyla,SO,9.4942,50.8122,77.86,68,14,16.22,few clouds,JABIR HOTEL
101,101,Georgetown,MY,5.4112,100.3354,78.73,98,20,3.44,few clouds,Cititel Penang
106,106,Buala,SB,-8.145,159.5921,84.9,66,97,1.41,light rain,Maringe Lagoon Lodge
107,107,Nouadhibou,MR,20.931,-17.0347,75.18,50,3,13.8,clear sky,El Medina
111,111,Gizo,SB,-8.103,156.8419,84.79,64,88,4.47,overcast clouds,Imagination Island
114,114,Butaritari,KI,3.0707,172.7902,81.07,73,55,18.9,broken clouds,Isles Sunset Lodge
117,117,Ambon,ID,-3.6954,128.1814,82.54,78,40,2.3,scattered clouds,Swiss-Belhotel Ambon
118,118,Hithadhoo,MV,-0.6,73.0833,80.62,79,69,10.63,broken clouds,Scoop Guest House
119,119,Key Largo,US,25.0865,-80.4473,80.01,74,8,4.43,clear sky,Bayside Inn Key Largo
134,134,Banda Aceh,ID,5.5577,95.3222,78.55,79,100,14.07,overcast clouds,OYO 884 Rumoh PMI Hotel
137,137,Vao,NC,-22.6667,167.4833,76.28,80,98,12.97,overcast clouds,Hotel Kou-Bugny
141,141,Veraval,IN,20.9,70.3667,75.4,47,4,10.31,clear sky,Lords Inn Somnath
144,144,Kavaratti,IN,10.5669,72.642,81.12,72,10,2.44,clear sky,Green leaf
145,145,Vaini,TO,-21.2,-175.2,82.56,74,20,5.75,few clouds,Keleti Beach Resort
156,156,Acarau,BR,-2.8856,-40.12,79.05,73,11,17.76,few clouds,castelo pizzaria
157,157,Kavieng,PG,-2.5744,150.7967,84.4,68,100,8.88,overcast clouds,Nusa Island Retreat
165,165,Maracacume,BR,-2.0428,-45.9592,75.27,80,44,3.89,scattered clouds,Hotel Ramos
174,174,Manggar,ID,-2.8833,108.2667,81.21,83,72,9.24,broken clouds,Guest Hotel
175,175,Faanui,PF,-16.4833,-151.75,79.52,75,100,3.49,overcast clouds,Bora-Bora Pearl Beach Resort & Spa
177,177,Ahuimanu,US,21.4447,-157.8378,83.91,59,75,16.11,broken clouds,Paradise Bay Resort
188,188,Atambua,ID,-9.1061,124.8925,81.97,66,99,1.16,overcast clouds,Ros Muskanan
192,192,Meulaboh,ID,4.1363,96.1285,75.18,88,100,3.27,moderate rain,Kost Pria
197,197,Namatanai,PG,-3.6667,152.4333,84.4,68,100,6.42,overcast clouds,Seagulls Inn Namatani
199,199,Dhidhdhoo,MV,6.8833,73.1,80.94,75,29,6.64,scattered clouds,Dhidhoo beach
200,200,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,82.8,44,25,4.92,scattered clouds,Hotel Tropical
210,210,Touros,BR,-5.1989,-35.4608,78.93,70,3,13.6,clear sky,INN NEW HORIZON
213,213,Cacahoatan,MX,14.9833,-92.1667,79.0,91,56,2.3,light rain,Luna Maya Hostel & Wellness
217,217,Tarakan,ID,3.3,117.6333,78.3,94,20,2.3,light rain,RedDoorz Syariah near Taman Berlabuh Tarakan
226,226,Celestun,MX,20.8667,-90.4,78.98,79,19,13.89,light rain,Posada Lilia
229,229,Puerto Gaitan,CO,4.3133,-72.0816,77.56,85,100,5.12,overcast clouds,Brisas del Yucao
232,232,Miri,MY,4.4148,114.0089,78.94,94,40,2.3,scattered clouds,"Mega Hotel, Miri"
240,240,Bontang,ID,0.1333,117.5,79.2,86,100,5.23,overcast clouds,KOPKAR Hotel Bintang Sintuk
242,242,Sri Aman,MY,1.2376,111.4621,75.25,100,98,0.0,overcast clouds,Seri Simanggang Hotel
250,250,Sampit,ID,-2.5333,112.95,77.11,84,100,0.51,light rain,Aquarius Boutique Hotel Sampit
256,256,Bom Jesus,BR,-9.0744,-44.3586,77.18,67,42,4.07,scattered clouds,Hotel Brasão & Floricultura Bella Flor
262,262,Dunmore Town,BS,25.5,-76.65,80.26,74,20,6.73,few clouds,Coral Sands Hotel
263,263,Lorengau,PG,-2.0226,147.2712,84.74,58,87,6.13,overcast clouds,Lorengau Harbourside Hotel
264,264,Santa Marta,CO,11.2408,-74.199,84.25,77,75,10.0,broken clouds,Hotel La Ballena Azul
280,280,Atar,MR,20.5169,-13.0499,77.07,21,6,9.51,clear sky,Oumou Elghoura
282,282,Tete,MZ,-16.1564,33.5867,80.69,65,20,6.91,few clouds,Zambeze Paraíso Misterioso
291,291,Itaituba,BR,-4.2761,-55.9836,81.16,71,97,2.04,overcast clouds,Hotel Campos
293,293,Beitbridge,ZW,-22.2167,30.0,80.82,34,0,4.79,clear sky,Beitbridge Express Hotel
295,295,Biak,ID,-0.9131,122.8766,80.58,79,100,5.35,overcast clouds,Penginapan Kim
300,300,Cabo San Lucas,MX,22.8909,-109.9124,79.11,65,40,4.61,scattered clouds,Hotel Tesoro Los Cabos
302,302,Neiafu,TO,-18.65,-173.9833,81.28,89,40,2.3,scattered clouds,Mystic Sands Beachfront Accommodation
308,308,Tautira,PF,-17.7333,-149.15,77.94,79,92,9.15,overcast clouds,Pension Oaoa
314,314,Sorong,ID,-0.8833,131.25,82.31,78,99,3.04,overcast clouds,Waigo Splash Hotel
318,318,Kununurra,AU,-15.7667,128.7333,78.78,83,75,1.14,broken clouds,Hotel Kununurra
320,320,Makakilo City,US,21.3469,-158.0858,82.72,55,100,17.27,overcast clouds,Marriott's Ko Olina Beach Club
321,321,Hobyo,SO,5.3505,48.5268,80.64,74,31,13.56,scattered clouds,Halane Hotel and Restaurent
328,328,Batticaloa,LK,7.7102,81.6924,75.13,78,98,9.86,overcast clouds,Treatooo Hotel
335,335,Ugoofaaru,MV,5.6667,73.0,80.67,76,74,8.97,light rain,Ungoofaaru Inn
337,337,Vung Tau,VN,10.346,107.0843,80.22,82,98,6.46,overcast clouds,Seaside Resort
341,341,Pangai,TO,-19.8,-174.35,82.51,69,20,5.75,few clouds,Ha'apai Beach Resort
343,343,Dingle,PH,10.9995,122.6711,79.72,88,93,8.21,overcast clouds,SEGAYA PROPERTY
346,346,Alofi,NU,-19.0595,-169.9187,82.29,78,59,8.05,broken clouds,Taloa Heights
347,347,Grand-Santi,GF,4.25,-54.3833,76.26,65,100,2.64,overcast clouds,Hotel La Villa Couacou
360,360,Malakal,SS,9.5334,31.6605,75.69,35,18,5.3,few clouds,Nile Palace Hotel
361,361,Pimenta Bueno,BR,-11.6725,-61.1936,79.34,65,76,4.81,broken clouds,Cristalina Palace Hotel
364,364,Makaha,US,21.4694,-158.2175,84.11,47,20,17.27,few clouds,Hawaiian Princess Resort
366,366,Waingapu,ID,-9.6567,120.2641,82.4,75,100,4.18,overcast clouds,Pondok Wisata Elim
368,368,Mahajanga,MG,-15.7167,46.3167,75.22,94,20,3.44,few clouds,Hôtel Restaurant Gourmand Coco Lodge Majunga
373,373,Santa,PH,17.486,120.4348,83.01,65,17,5.82,few clouds,Monte Leah Beach Resort
380,380,Trairi,BR,-3.2778,-39.2689,78.78,70,8,11.86,clear sky,janelas do mar
381,381,Black River,JM,18.0264,-77.8487,79.9,81,73,1.99,broken clouds,Idlers' Rest Beach Hotel
382,382,Luwuk,ID,-0.9516,122.7875,82.04,82,100,5.59,overcast clouds,Hotel Santika Luwuk
383,383,Kourou,GF,5.1552,-52.6478,78.85,84,100,8.32,overcast clouds,Lodge TAKINI4 Guesthouse KOUROU FGU
385,385,Bajil,YE,15.0584,43.2851,76.53,72,46,1.86,scattered clouds,فندق حضرموت
386,386,Bubaque,GW,11.2833,-15.8333,82.53,73,100,8.55,overcast clouds,"Casa Dora, Bubaque"
388,388,Catuday,PH,16.2923,119.8062,79.2,74,70,10.69,broken clouds,Benjie's Kubo & Cottages
393,393,San Ignacio,BZ,17.1561,-89.0714,82.54,69,75,6.91,broken clouds,Rainforest Haven Inn
405,405,Maragogi,BR,-9.0122,-35.2225,76.71,83,43,6.76,scattered clouds,Salinas do Maragogi All Inclusive Resort
408,408,Sola,VU,-13.8833,167.55,81.99,72,10,8.37,clear sky,Leumerus Bungalows
409,409,Moindou,NC,-21.6924,165.677,80.49,72,97,5.37,overcast clouds,Equi-lodge de Moindou
417,417,San Rafael Del Sur,NI,11.8485,-86.4384,81.57,77,28,11.18,scattered clouds,Hospedaje El Chino
423,423,Acapulco,MX,16.8634,-99.8901,80.47,83,13,4.72,few clouds,HS Hotsson Smart Acapulco
424,424,Maceio,BR,-9.6658,-35.7353,76.44,88,0,8.05,clear sky,Hotel Ponta Verde Maceió
429,429,General Roca,AR,-39.0333,-67.5833,77.63,24,58,5.28,broken clouds,Hotel El Recreo
434,434,Kendari,ID,-3.945,122.4989,78.15,89,100,3.49,overcast clouds,Hotel Wixel
436,436,Port Blair,IN,11.6667,92.75,75.24,94,100,2.3,mist,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
443,443,Belmonte,BR,-15.8631,-38.8828,76.59,89,100,7.29,light rain,Pousada Monte Carmelo O Pão
444,444,Jaciara,BR,-15.9653,-54.9683,80.49,40,32,6.98,scattered clouds,Taba Hotel
448,448,Eyl,SO,7.9803,49.8164,76.6,74,10,11.23,clear sky,EYL AQUE SYSTEM
451,451,Porto Novo,BJ,6.4965,2.6036,82.22,81,11,7.36,few clouds,Tour Eiffel Hotel Benin
460,460,Labuhan,ID,-6.8844,112.2051,81.27,78,99,3.78,overcast clouds,DoubleFAG
474,474,Sur,OM,22.5667,59.5289,75.34,74,17,0.96,few clouds,Sur Plaza Hotel
486,486,High Rock,BS,26.6208,-78.2833,78.82,69,10,2.59,clear sky,Hideaway Bahamas Beach Club
490,490,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,14.97,few clouds,Atlantis Hotel
497,497,Bowen,AU,-20.0167,148.2333,83.71,53,79,14.63,broken clouds,Castle Motor Lodge Motel
499,499,Kirakira,SB,-10.4544,161.9205,84.16,76,68,5.73,broken clouds,SanBiz Lodge
500,500,Balikpapan,ID,-1.2675,116.8289,79.79,89,20,3.44,few clouds,Swiss-Belhotel Balikpapan
505,505,Hervey Bay,AU,-25.2986,152.8535,76.01,34,29,14.0,scattered clouds,Shelly Bay Resort
507,507,Rach Gia,VN,10.0167,105.0833,77.41,92,83,8.03,broken clouds,Hòa Bình Rạch Giá Resort
525,525,Sulangan,PH,11.1373,123.7228,82.47,78,87,10.0,overcast clouds,Maia's Beach Resort
527,527,Pundaguitan,PH,6.3711,126.1689,77.27,92,100,17.6,light rain,Leonardo Family Beach House 1
528,528,Ixtapa,MX,20.7,-105.2,79.23,76,1,3.0,clear sky,hotel la terminal
529,529,Bachaquero,VE,9.9694,-71.1494,80.6,83,99,5.06,overcast clouds,Campo progreso Parroquia Rafael Urdaneta
532,532,Santa Rosa,PH,14.3122,121.1114,84.02,79,72,11.39,broken clouds,Erlyn’s Sta Rosa City Home
535,535,Nishihara,JP,26.1842,127.7558,76.28,76,75,11.5,broken clouds,Minshuku Agaihama
537,537,Coahuayana,MX,18.7333,-103.6833,79.18,78,0,3.27,clear sky,El rranchito michuacan de ocampos
540,540,Humaita,BR,-7.5061,-63.0208,78.19,81,99,0.87,overcast clouds,Corrêa Hotel
544,544,Farafenni,GM,13.5667,-15.6,80.2,56,63,5.46,broken clouds,Eddy's Hotel
546,546,Maturin,VE,9.75,-63.1767,75.04,100,99,3.44,overcast clouds,"Residential Hotel ""La Pichincha"""
549,549,Kokopo,PG,-4.352,152.2633,84.49,62,100,4.09,overcast clouds,Kokopo Beach Bungalow Resort
550,550,Borba,BR,-4.3878,-59.5939,77.41,86,99,2.75,overcast clouds,Hotel da Amazônia
551,551,Barra Do Corda,BR,-5.5,-45.25,82.71,57,90,1.43,overcast clouds,Belchior Palace Hotel
555,555,Rurrenabaque,BO,-14.4413,-67.5278,79.65,70,76,1.59,broken clouds,Casa de Campo
561,561,La Palma,US,33.8464,-118.0467,76.39,12,0,17.27,clear sky,La Quinta Inn & Suites by Wyndham Buena Park
562,562,Japura,ID,-0.3167,102.35,75.27,85,100,3.36,overcast clouds,Rumah mbah Jamah
564,564,Male,MV,4.1748,73.5089,76.95,94,100,5.75,overcast clouds,Hotel Octave Maldives
569,569,Camocim,BR,-2.9022,-40.8411,78.69,77,12,12.33,few clouds,Ilha Praia Hotel
570,570,Barras,BR,-4.2444,-42.2944,79.45,65,26,7.49,scattered clouds,Bl2
